<<<<<<< HEAD
Diet,Food_group,Subgroup,Engelse_naam/Food_name,Hoeveelheid/Quantity,ENERCJ_(kJ),ENERCC_(kcal),PROT_(g),FAT_(g),CHO_(g),Subgroup
Vegan,Cereals_and_cereal_products,Oatmeal,Oatmeal,per_100g,1575,373,12.8,7.3,60.7,
Vegan,Cereals_and_cereal_products,Cornstarch,Cornstarch,per_100g,1500,353,0,0.1,88,
Vegan,Cereals_and_cereal_products,Rice_,Rice_brown_raw,per_100g,1511,357,8.3,2.6,73.5,
Vegan,Cereals_and_cereal_products,Couscous,Couscous_unprepared,per_100g,1597,377,12.8,0.6,77.4,
Vegan,Cereals_and_cereal_products,Barley,Barley_whole_grain_raw,per_100g,1391,330,10.6,2.1,59.7,
Vegan,Cereals_and_cereal_products,Tortilla,Wrap/Tortilla,per_100g,1371,325,9.5,7.9,52.5,
Vegan,Cereals_and_cereal_products,Muesli,Muesli_crunchy_plain/w_fruit,per_100g,1841,438,8.3,14.8,64.6,
Vegan,Cereals_and_cereal_products,Quinoa,Quinoa_raw,per_100g,1492,354,14.1,6.1,57.2,
Vegan,Cereals_and_cereal_products,Quinoa,Quinoa_cooked,per_100g,483,114,4.4,1.9,18.5,
Pescaterian,Cheese,Cheese,Cheese_Swiss_dried,per_100g,966,228,55,0.7,0,
Pescaterian,Cheese,Cheese,Cheese_Edam_40+,per_100g,1345,324,25.5,24.3,0,
Pescaterian,Cheese,Cheese,Cheese_Gouda_48+_av,per_100g,1529,369,22.9,30.5,0,
Pescaterian,Cheese,Cheese,Cheese_20+_Leidse_w_cumin/Fries_clove,per_100g,1003,240,33.1,11.9,0,
Pescaterian,Cheese,Cheese,Cheese_spread_48+_full_fat,per_100g,1078,260,13.4,21.7,2.1,
Pescaterian,Cheese,Cheese,Cheese_spread_40+,per_100g,942,227,16,17,2,
Pescaterian,Cheese,Cheese,Cheese_spread_20+,per_100g,574,137,17.2,6.8,1.7,
Pescaterian,Cheese,Cheese,Cheese_Camembert_45+,per_100g,1271,306,25,22.8,0,
Pescaterian,Cheese,Cheese,Cheese_Brie_50+,per_100g,1322,318,23,25.1,0,
Pescaterian,Cheese,Cheese,Cheese_cottage,per_100g,384,92,11.2,3.9,2.3,
Pescaterian,Cheese,Cheese,Cheese_Roquefort,per_100g,1478,357,19,31,0,
Pescaterian,Cheese,Cheese,Cheese_Saint_Paulin/Port_Salut,per_100g,1415,341,21.5,28.2,0,
Pescaterian,Cheese,Cheese,Cheese_Parmesan,per_100g,1684,404,40,27,0,
Pescaterian,Cheese,Cheese,Cheese_cream_soft_Mon_Chou,per_100g,1303,316,6.8,31,2.4,
Pescaterian,Cheese,Cheese,Cheese_Limburger,per_100g,1175,283,21,21,2,
Pescaterian,Cheese,Cheese,Cheese_Gruyere,per_100g,1799,433,29,34.5,1.4,
Pescaterian,Cheese,Cheese,Cheese_Emmenthaler,per_100g,1608,387,29,30,0,
Pescaterian,Cheese,Cheese,Cheese_Cheddar,per_100g,1721,415,25.5,34.4,0.1,
Pescaterian,Cheese,Cheese,Cheese_Bluefort,per_100g,1673,405,17.9,37,0,
Pescaterian,Cheese,Cheese,Cheese_cream_soft_Boursin,per_100g,1696,411,7.5,41,3,
Pescaterian,Cheese,Cheese,Cheese_sheep_fresh,per_100g,990,238,17,18.8,0,
Pescaterian,Cheese,Cheese,Cheese_Kernhem_60+,per_100g,1831,443,18.6,40.6,0,
Pescaterian,Cheese,Cheese,Cheese_Gorgonzola,per_100g,1486,359,19.4,31.2,0.1,
Pescaterian,Cheese,Cheese,Cheese_Mozzarella_made_from_cow's_milk,per_100g,1051,253,18.7,19.5,0.7,
Pescaterian,Cheese,Cheese,Cheese_Feta,per_100g,1135,274,16.6,22.8,0.6,
Pescaterian,Cheese,Cheese,Cheese_cream_w_herbs_25-30_g_fat,per_100g,1201,291,5.3,28.4,3.4,
Pescaterian,Cheese,Cheese,Cheese_white_45+_feta-like_from_cow's_milk,per_100g,1027,247,17.1,19.6,0.6,
Pescaterian,Cheese,Cheese,Cheese_Danish_Blue,per_100g,1461,352,20.5,29.5,0.7,
Omnivore,Cold_meat_cuts,Bacon,Bacon,per_100g,783,188,18.5,12.4,0.5,
Omnivore,Cold_meat_cuts,Salami,Salami,per_100g,1621,392,18.7,34.8,0.9,
Omnivore,Cold_meat_cuts,Ham,Ham_lean_grilled,per_100g,501,119,18.9,3.9,1.8,
Omnivore,Cold_meat_cuts,Chicken,Chicken_(processed_meat_product),per_100g,526,125,17.5,4.4,3.4,
Omnivore,Cold_meat_cuts,Turkey,Turkey_(processed_meat_product),per_100g,479,113,19.8,2.4,3.2,
Omnivore,Cold_meat_cuts,Sausage,Sausage_,per_100g,2002,484,22.3,42.5,2.7,
Vegetarian,Eggs,Eggs,Egg_whole_chicken_av_raw,per_100g,549,132,12.3,9.1,0.2,
Vegan,Fats_and_oils,Oil,Oil_peanut,per_100g,3700,900,0,100,0,
Pescaterian,Fats_and_oils,Butter,Butter_unsalted,per_100g,3033,737,0.7,81.2,1.1,
Vegan,Fats_and_oils,Oil,Oil_soy,per_100g,3676,894,0.3,99.2,0,
Omnivore,Fats_and_oils,Lard,Lard,per_100g,3700,900,0,100,0,
Vegan,Fats_and_oils,Oil,Oil_sunflower_seed,per_100g,3687,897,0.3,99.5,0,
Vegan,Fats_and_oils,Oil,Oil_olive,per_100g,3700,900,0,100,0,
Vegan,Fats_and_oils,Margarine,Margarine_80%_fat_>24_g_sat_fa_salted,per_100g,2956,719,0.1,79.7,0.3,
Vegan,Fats_and_oils,Oil,Oil_linseed,per_100g,3700,900,0,100,0,
Vegan,Fats_and_oils,Oil,Oil_sesame,per_100g,3692,898,0.2,99.7,0,
Vegan,Fats_and_oils,Oil,Oil_rapeseed,per_100g,3696,899,0,99.9,0,
Vegan,Fats_and_oils,Oil,Oil_palm,per_100g,3696,899,0,99.9,0,
Pescaterian,Fish,Eel,Eel_raw,per_100g,1537,372,14,35.1,0,
Pescaterian,Fish,Herring,Herring_raw,per_100g,827,199,16,15,0,
Pescaterian,Fish,Mackrel,Mackerel_raw,per_100g,968,233,18,17.9,0,
Pescaterian,Fish,Oysters,Oysters,per_100g,240,57,6,1.9,4,
Pescaterian,Fish,Sardines,Sardines/pilchards_in_oil_tinned,per_100g,961,231,21.7,16,0,
Pescaterian,Fish,Salmon,Salmon_tinned,per_100g,613,146,20.4,7.2,0,
Pescaterian,Fish,Eel,Eel_smoked,per_100g,1453,351,19.1,30.5,0,
Pescaterian,Fish,Fish_fingers,Fish_fingers_unprepared,per_100g,812,194,13,8,17,
Pescaterian,Fish,Cod,Cod_raw,per_100g,320,75,17.5,0.6,0,
Pescaterian,Fish,Salmon,Salmon_smoked,per_100g,785,188,21.8,10.8,0.8,
Pescaterian,Fish,Caviar,Caviar,per_100g,1167,281,24,20.5,0,
Pescaterian,Fish,Squid,Squid_raw,per_100g,309,73,16,1,0,
Pescaterian,Fish,Salmon,Salmon_farmed_raw,per_100g,748,179,20,11,0,
Pescaterian,Fish,Anchovy,Anchovy_in_oil_canned,per_100g,868,208,25,11.9,0.1,
Pescaterian,Fish,Tuna,Tuna_in_oil_tinned,per_100g,862,206,27,10.8,0.1,
Pescaterian,Fish,Tuna,Tuna_in_water_tinned,per_100g,460,109,24.9,1,0,
Pescaterian,Fish,Tuna,Tuna_raw,per_100g,429,101,23.7,0.7,0,
Pescaterian,Fish,Tilapia,Tilapia_raw,per_100g,364,86,17.9,1.6,0,
Pescaterian,Fish,Surimi,Surimi,per_100g,515,122,6.8,3.6,15.5,
Vegan,Fruits,Apple,Apple_wo_skin_av,per_100g,232,55,0.2,0.1,12,
Vegan,Fruits,Strawberries,Strawberries,per_100g,123,29,0.7,0,5.1,
Vegan,Fruits,Apricots_,Apricots_w_skin,per_100g,188,44,0.9,0.1,8,
Vegan,Fruits,Pineapple,Pineapple,per_100g,229,54,0.5,0.1,12,
Vegan,Fruits,Banana,Banana,per_100g,391,92,1.1,0.3,20,
Vegan,Fruits,Blueberries,Blueberries,per_100g,219,52,0.7,0,11,
Vegan,Fruits,Lemon,Lemon,per_100g,153,36,0.8,0.3,3,
Vegan,Fruits,Cranberries_,Cranberries_fresh,per_100g,98,24,0.4,0.1,3.4,
Vegan,Fruits,Grapes_,Grapes_w_skin_av,per_100g,331,78,0.6,0.2,16.8,
Vegan,Fruits,Raspberries,Raspberries,per_100g,157,37,1.4,0.3,4.5,
Vegan,Fruits,Grapefruit,Grapefruit,per_100g,156,37,0.9,0,6.6,
Vegan,Fruits,Cherries,Cherries,per_100g,243,57,0.9,0.4,11.5,
Vegan,Fruits,Manderins,Manderins,per_100g,194,46,0.7,0.1,9.9,
Vegan,Fruits,Melon,Melon_netted,per_100g,114,27,0.5,0,6,
Vegan,Fruits,Pear,Pear_wo_skin,per_100g,226,53,0.3,0.2,11.7,
Vegan,Fruits,Peach_,Peach_wo_skin,per_100g,172,41,1,0,7.9,
Vegan,Fruits,Plums,Plums_w_skin,per_100g,170,40,0.8,0,7.3,
Vegan,Fruits,Orange,Orange,per_100g,200,48,0.8,1,7.9,
Vegan,Fruits,Apples_,Apples_dried,per_100g,1234,292,2,0.5,65,
Vegan,Fruits,Prunes,Prunes,per_100g,928,220,2,0,45,
Vegan,Fruits,Coconut_,Coconut_meat,per_100g,1671,406,4,40,3,
Vegan,Fruits,Plantain_ripe_raw,Plantain_ripe_raw,per_100g,585,138,1.3,0,32,
Vegan,Fruits,Avocado,Avocado,per_100g,767,186,2,18.4,1.8,
Vegan,Fruits,Guava_,Guava_(pink_fleshed),per_100g,317,75,2.6,1,10.9,
Vegan,Fruits,Lime,Lime,per_100g,173,41,0.7,0.2,7.7,
Vegan,Fruits,Mango,Mango,per_100g,278,66,0.6,0.2,14.3,
Vegan,Fruits,Papaya,Papaya,per_100g,164,39,0.5,0.3,7.8,
Vegan,Fruits,Apple,Apple_w_skin_av,per_100g,238,56,0.3,0.2,12,
Vegan,Fruits,Pomegranate,Pomegranate,per_100g,385,91,1,1,17,
Vegan,Fruits,Figs_,Figs_fresh,per_100g,356,84,1,0,19,
Vegan,Fruits,Kiwi_,Kiwi_fruit_green,per_100g,263,62,0.9,0.8,10.8,
Vegan,Fruits,Melon_,Melon_water,per_100g,155,36,0.5,0,8,
Vegan,Fruits,Melon_,Melon_honeydew,per_100g,127,30,0.9,0,6.3,
Vegan,Fruits,Nectarine,Nectarine,per_100g,151,36,1,0.1,6.5,
Vegan,Fruits,Dates_,Dates_fresh,per_100g,590,139,1.5,0.1,31.3,
Vegan,Fruits,Grapes_,Grapes_black_w_skin,per_100g,316,75,0.6,0.1,16.8,
Vegan,Fruits,Grapes_w,Grapes_white_w_skin,per_100g,320,76,0.5,0.4,16.9,
Vegan,Fruits,Melon_,Melon_cantaloupe,per_100g,163,38,0.8,0.2,7.9,
Vegan,Herbs_and_spices,Parsley_,Parsley_fresh,per_100g,154,37,4,0.8,1,
Vegan,Herbs_and_spices,Pepper_,Pepper_black/white,per_100g,1393,332,11,3,52,
Vegan,Herbs_and_spices,Mustard,Mustard,per_100g,538,129,6.7,7.8,6.6,
Vegan,Herbs_and_spices,Nutmeg_,Nutmeg_powder,per_100g,2231,536,6,36,45,
Vegan,Herbs_and_spices,Cinnamon_,Cinnamon_powder,per_100g,1326,316,4,3,56,
Vegan,Herbs_and_spices,Cumin_,Cumin_seed_dried,per_100g,1782,427,18,22,34,
Vegan,Herbs_and_spices,Cloves,Cloves,per_100g,1803,431,6,20,52,
Vegan,Herbs_and_spices,Chives_,Chives_fresh,per_100g,259,62,4,1,8,
Vegan,Herbs_and_spices,Ginger_,Ginger_root,per_100g,342,81,1.8,0.8,15.7,
Vegan,Herbs_and_spices,Soy_,Soy_sauce_salt,per_100g,898,211,2.8,0,50,
Vegan,Herbs_and_spices,Basil_,Basil_dried,per_100g,1014,244,23,4.1,10.1,
Vegan,Herbs_and_spices,Chilli_,Chilli_powder,per_100g,1553,373,12,17,32,
Vegan,Herbs_and_spices,Oregano_,Oregano_dried,per_100g,1510,360,11,10,49,
Vegan,Herbs_and_spices,Paprika_,Paprika_powder,per_100g,1498,359,15,13,35,
Vegan,Herbs_and_spices,Parsley_,Parsley_dried,per_100g,1301,309,22,4,41,
Vegan,Herbs_and_spices,Rosemary_,Rosemary_dried,per_100g,1563,374,5,15,46,
Vegan,Herbs_and_spices,Pepper_,Pepper_red_hot_paste,per_100g,151,36,1.6,0.7,4.9,
Vegan,Herbs_and_spices,Basil_,Basil_fresh,per_100g,200,48,3.1,0.8,5.1,
Vegan,Legumes,Beans_,Beans_brown_canned,per_100g,506,120,6.5,0.7,18,
Vegan,Legumes,Beans,Beans_black_eyed_dried,per_100g,1554,367,23,2,62,
Vegan,Legumes,Peas_,Peas_split_yellow/green_dried,per_100g,1523,359,22,2,61,
Vegan,Legumes,Beans_,Beans_kidney_red_dried,per_100g,1242,295,22.1,1.4,36.9,
Vegan,Legumes,Beans_,Beans_white_canned,per_100g,442,105,6.9,0.8,14,
Vegan,Legumes,Beans_,Beans_kidney_red_canned,per_100g,490,116,8.2,0.7,15.1,
Vegan,Legumes,Peas_,Peas_chick_canned,per_100g,588,140,7.9,2.5,17.9,
Vegan,Legumes,Beans_,Beans_black_eyed_canned,per_100g,532,126,7.8,0.9,18.9,
Vegan,Legumes,Lentils,Lentils_brown_canned,per_100g,470,112,7.6,0.8,15.6,
Vegan,Legumes,Beans_,Beans_cannellini_canned,per_100g,473,113,7.1,1.1,15,
Vegan,Legumes,Beans_,Beans_chilli_canned,per_100g,447,106,6.3,0.8,15.8,
Vegan,Legumes,Beans_,Beans_black_canned,per_100g,474,113,7.9,1,14.1,
Omnivore,Meat_and_poultry,Duck_,Duck_w_skin_raw,per_100g,1603,388,13.1,37.3,0,
Omnivore,Meat_and_poultry,Hare_,Hare_whole_raw,per_100g,485,115,22,3,0,
Omnivore,Meat_and_poultry,Chicken_,Chicken_w_skin_raw,per_100g,905,218,18.3,16,0,
Omnivore,Meat_and_poultry,Turkey,Turkey_raw,per_100g,593,141,21.8,6,0,
Omnivore,Meat_and_poultry,Venison_r,Venison_raw,per_100g,512,122,22.4,3.6,0,
Omnivore,Meat_and_poultry,Beef/Pork_,Minced_beef/pork_shallow_fried,per_100g,1322,317,30.1,21.6,0.4,
Omnivore,Meat_and_poultry,Beef_,Minced_beef_kofte_Turkish_prepared,per_100g,1050,251,25.8,12.6,8.2,
Omnivore,Meat_and_poultry,Mutton,Minced_mutton_prepared_Kofte_Turkish,per_100g,848,203,22.6,10.6,3.8,
Omnivore,Meat_and_poultry,Beef_,Minced_beef_ball_prepared_w_egg/crumbs,per_100g,1285,308,27,19.8,5.2,
Omnivore,Meat_and_poultry,Beef,Beef_rump_steak_raw,per_100g,455,108,22.9,1.8,0,
Omnivore,Meat_and_poultry,Beef_,Beef_tenderloin_steak_raw,per_100g,489,116,23.7,2.3,0,
Omnivore,Meat_and_poultry,Beef_,Beef_prime_rib_raw,per_100g,691,165,23,8.1,0,
Omnivore,Meat_and_poultry,Beef_,Beef_frying_steak_raw,per_100g,436,103,21.2,2,0,
Omnivore,Meat_and_poultry,Beef,Minced_beef_raw,per_100g,937,225,18.9,16.5,0.2,
Omnivore,Meat_and_poultry,Beef_,Beef_rib_raw,per_100g,573,137,19.8,6.4,0,
Omnivore,Meat_and_poultry,Pork_,Pork_fillet_raw,per_100g,540,128,23.3,3.9,0,
Omnivore,Meat_and_poultry,Pork_,Minced_pork_raw,per_100g,741,177,20.1,10.7,0.3,
Omnivore,Meat_and_poultry,Beef/Pork_,Minced_beef/pork_raw,per_100g,969,233,19.2,17.2,0.3,
Omnivore,Meat_and_poultry,Hamburger_,Hamburger_raw,per_100g,995,239,16.8,18,2.2,
Omnivore,Meat_and_poultry,Veal_,Veal_prime_rib_raw,per_100g,629,150,21.4,7.2,0,
Omnivore,Meat_and_poultry,Lamb_,Minced_lamb_raw,per_100g,908,218,19.3,15.7,0,
Omnivore,Meat_and_poultry,Lamb_,Lamb_chop_raw,per_100g,929,223,19.2,16.3,0,
Vegan,Meat_substitutes_and_dairy_substitutes,Tempeh,Tempeh_fermented_soya_beans_prepared_wo_fat,per_100g,624,150,12.2,7.5,5.6,
Vegan,Meat_substitutes_and_dairy_substitutes,Soya_,Drink_soya_natural,per_100g,158,38,3.4,2,1.4,
Vegan,Meat_substitutes_and_dairy_substitutes,Soya_,Miso_soya_paste,per_100g,542,130,11.7,5,6.2,
Vegan,Meat_substitutes_and_dairy_substitutes,Seitan,Seitan,per_100g,479,113,24.8,0,3,
Vegan,Meat_substitutes_and_dairy_substitutes,Hamburger,Hamburger_vegetarian_unprep,per_100g,805,192,17.7,8.6,9.4,
Vegan,Meat_substitutes_and_dairy_substitutes,Mincemeat_,Vegetarian_mincemeat_balls_unprep,per_100g,709,169,17.1,6.3,9.3,
Vegan,Meat_substitutes_and_dairy_substitutes,Ham_,Ham_vegetarian,per_100g,1021,245,13.6,16.6,9.9,
Vegan,Meat_substitutes_and_dairy_substitutes,Ice_cream,Ice_cream_based_on_coconutmilk,per_100g,776,185,1.2,6.9,29.4,
Vegan,Meat_substitutes_and_dairy_substitutes,Nuggets_,Nuggets_vegetarian_unprepared,per_100g,1064,255,15,15,14,
Vegan,Meat_substitutes_and_dairy_substitutes,Falafel_,Falafel_unprepared,per_100g,871,208,6.8,9.6,20.9,
Vegetarian,Milk_and_milk_products,Milk,Milk_chocolate-flavoured_full_fat,per_100g,344,82,3.3,2.8,10.7,
Vegetarian,Milk_and_milk_products,Yoghurt_,Yoghurt_full_fat,per_100g,234,56,3.8,2.7,3.4,
Vegetarian,Milk_and_milk_products,Milk_,Milk_whole,per_100g,257,61,3.3,3.4,4.5,
Vegetarian,Milk_and_milk_products,Milk_,Milk_semi-skimmed,per_100g,190,45,3.4,1.4,4.7,
Vegetarian,Milk_and_milk_products,Ice_cream,Ice_cream_dairy_av,per_100g,904,216,2.9,11.3,25.3,
Vegetarian,Milk_and_milk_products,Cream_,Cream_sour,per_100g,553,134,3,12,3.4,
Vegetarian,Milk_and_milk_products,Kefir,Kefir,per_100g,170,40,3.5,1.5,3.1,
Vegetarian,Milk_and_milk_products,Milk_,Milk_goats-_full_fat,per_100g,267,64,3.3,3.7,4.3,
Vegetarian,Milk_and_milk_products,Jelly,Jelly,per_100g,251,59,1.8,0,13,
Vegetarian,Milk_and_milk_products,Ice_cream_,Ice_cream_dairy_stracciatella,per_100g,1037,248,3.3,13.9,26.8,
Vegetarian,Milk_and_milk_products,Ice_cream_,Ice_cream_dairy_w_caramel_and_nuts,per_100g,1017,243,3.2,12.3,29.8,
Vegetarian,Milk_and_milk_products,Ice_cream_,Ice_cream_chocolate,per_100g,946,226,3.5,10.4,28.6,
Vegetarian,Milk_and_milk_products,Ice_cream,Ice_cream_dairy_vanilla_flavoured,per_100g,921,220,3,12,24.9,
Vegetarian,Milk_and_milk_products,Ice_cream,Ice_cream_dairy_w_vegetal_fat_vanilla_flavoured,per_100g,887,212,2.9,10.7,25.8,
Vegetarian,Milk_and_milk_products,Ice_cream_,Ice_cream_dairy_w_fruit,per_100g,814,194,2.7,8.1,27.1,
Vegetarian,Milk_and_milk_products,Ice_cream_,Ice_cream_dairy/non-dairy_cornet_w_fruit,per_100g,1129,269,3.1,10.3,40.5,
Vegan,Miscellaneous_foods,Vinegar,Vinegar,per_100g,95,22,0.4,0,0.6,
Vegan,Miscellaneous_foods,Salt_sea,Salt_sea,per_100g,0,0,0,0,0,
Vegan,Miscellaneous_foods,Vinegar_Balsamic,Vinegar_Balsamic,per_100g,523,123,0.7,0,25.3,
Vegan,Miscellaneous_foods,Cocoa_powder_low_fat,Cocoa_powder_low_fat,per_100g,1375,332,23.4,11,12.4,
Vegan,Non-alcoholic_beverages,Juice,Juice_apple,per_100g,194,46,0.1,0,11.2,
Vegan,Non-alcoholic_beverages,Juice_,Juice_grape,per_100g,277,65,0.2,0,15.9,
Vegan,Non-alcoholic_beverages,Juice,Fruit_juice_drink_raspberry,per_100g,241,57,0,0,14,
Vegan,Non-alcoholic_beverages,Juice,Tomato_juice,per_100g,68,16,0.7,0,3.2,
Vegan,Non-alcoholic_beverages,Water,Water_0-50_mg_calcium_p_litre,per_100g,0,0,0,0,0,
Vegan,Non-alcoholic_beverages,Water,Water_50-100_mg_calcium_p_litre,per_100g,0,0,0,0,0,
Vegan,Non-alcoholic_beverages,Water,Water_>100_mg_calcium_p_litre,per_100g,0,0,0,0,0,
Vegan,Non-alcoholic_beverages,Juice_grpefruit,Juice_grapefruit,per_100g,143,34,0.5,0,7.3,
Vegan,Non-alcoholic_beverages,Water,Mineral_water_sparkling_and_not_sparkling_av,per_100g,0,0,0,0,0,
Vegan,Non-alcoholic_beverages,Juice_,Juice_beetroot,per_100g,146,34,0.9,0,7.7,
Vegan,Non-alcoholic_beverages,Juice_,Juice_pear,per_100g,164,39,0.1,0,9.5,
Vegan,Non-alcoholic_beverages,Juice,Juice_lemon_fresh,per_100g,202,47,0.4,0,8,
Vegan,Non-alcoholic_beverages,Juice_,Juice_tomato/vegetable,per_100g,88,21,1,0,4,
Vegan,Non-alcoholic_beverages,Juice_,Juice_tomato/vegetable_low_sodium,per_100g,88,21,1,0,4,
Vegan,Non-alcoholic_beverages,Juice_,Juice_pineapple,per_100g,200,47,0.5,0,11.2,
Vegan,Non-alcoholic_beverages,Cola_,Cola_light_soft_drink_w_caffeine,per_100g,0,0,0,0,0,
Vegan,Non-alcoholic_beverages,Juice_,Juice_carrot,per_100g,122,29,0.4,0.2,6.4,
Vegan,Non-alcoholic_beverages,Water_,Water_av,per_100g,0,0,0,0,0,
Vegan,Non-alcoholic_beverages,Juice,Juice_orange_w_pulp,per_100g,178,42,0.7,0,8.7,
Vegan,Non-alcoholic_beverages,Ice_tea_,Ice_tea_light,per_100g,8,2,0.1,0.1,0.2,
Vegan,Non-alcoholic_beverages,Tea_,Tea_herbal_instant_sweetend_prepared,per_100g,79,19,0,0,4.7,
Vegan,Non-alcoholic_beverages,Coffee,Coffee_cappuccino_instant_powder,per_100g,1707,407,13.9,14.9,52.4,
Vegan,Non-alcoholic_beverages,Juice_,Juice_multifruit,per_100g,198,47,0.4,0.1,10.7,
Vegan,Non-alcoholic_beverages,Coffee,Coffee_instant_powder,per_100g,466,114,7.8,0.2,3.1,
Vegan,Non-alcoholic_beverages,Energy_drink_,Energy_drink_Red_Bull,per_100g,187,44,0,0,11,
Vegan,Non-alcoholic_beverages,Energy_drink_,Energy_drink_Red_Bull_sugarfree,per_100g,0,0,0,0,0,
Vegan,Nuts_and_seeds,Almonds,Almonds_blanched_unsalted,per_100g,2609,631,21.7,55.8,7.1,
Vegan,Nuts_and_seeds,Cashew_,Cashew_nuts_unsalted,per_100g,2552,615,21.2,48.9,20.8,
Vegan,Nuts_and_seeds,Hazelnuts_,Hazelnuts_unsalted,per_100g,2763,670,16.4,63,4.8,
Vegan,Nuts_and_seeds,Chestnuts_,Chestnuts_raw,per_100g,796,189,4,2.7,35,
Vegan,Nuts_and_seeds,Brazil_,Brazil_nuts_unsalted,per_100g,2830,687,14.3,67.1,2.6,
Vegan,Nuts_and_seeds,Peanuts_,Peanuts_unsalted,per_100g,2596,627,25.2,51.7,11.8,
Vegan,Nuts_and_seeds,Nuts,Mixed_nuts_and_raisins,per_100g,2066,496,11,32.1,38,
Vegan,Nuts_and_seeds,Walnuts_,Walnuts_unsalted,per_100g,2914,706,15.9,68.1,5.1,
Vegan,Nuts_and_seeds,Nuts,Nuts_mixed_unsalted,per_100g,2658,642,21.5,55.1,12.2,
Vegan,Nuts_and_seeds,Sunflower_,Sunflower_seeds,per_100g,2677,647,18,56.5,13,
Vegan,Nuts_and_seeds,Peanuts_,Peanuts_salted,per_100g,2569,620,24.8,50.5,13.2,
Vegan,Nuts_and_seeds,Pecan_,Pecan_nuts_unroasted_unsalted,per_100g,2971,721,9.2,72,4.4,
Vegan,Nuts_and_seeds,Pistachio_,Pistachio_nuts_salted,per_100g,2452,592,23.8,48.3,10.8,
Vegan,Nuts_and_seeds,Nuts_,Nuts_mixed_salted,per_100g,2639,638,21.3,54.7,12.1,
Vegan,Nuts_and_seeds,Peanuts_,Peanuts_dry_roasted,per_100g,2390,577,24,47,11,
Vegan,Nuts_and_seeds,Pine_,Pine_nuts,per_100g,2532,611,24,50.7,14.2,
Vegan,Nuts_and_seeds,Peanuts_,Peanuts_sugar_coated,per_100g,2238,536,15.1,31,47.1,
Vegan,Nuts_and_seeds,Chia_,Chia_seeds_dried,per_100g,1825,443,16.5,30.7,7.7,
Vegetarian,Pastry_and_biscuits,Biscuit,Biscuit,per_100g,1840,437,7.6,11,75.5,
Vegan,Pastry_and_biscuits,Muesli_,Muesli_bar,per_100g,1802,430,7.9,19.6,53,
Vegetarian,Pastry_and_biscuits,Wafer_,Wafer_galette,per_100g,2014,480,6.9,20.9,65.2,
Vegan,Potatoes_and_tubers,Potatoes_,Potatoes_raw,per_100g,371,88,2,0,19,
Vegan,Potatoes_and_tubers,Potatoes_,Potatoes_new_raw,per_100g,371,88,2,0,19,
Vegan,Potatoes_and_tubers,Potatoes,Potatoes_old_raw,per_100g,371,88,2,0,19,
Vegan,Potatoes_and_tubers,Taro_,Taro_raw,per_100g,505,119,1.4,0.2,26.2,
